"test.id","bottle.id","substrate","ISR","vol.bot","vol.hs","m.inoc","m.sub","m.inoc.vs","m.sub.vs"
101,635,"BK",NA,NA,NA,430,NA,7.5977,NA
101,636,"BK",NA,NA,NA,430,NA,7.5977,NA
101,637,"BK",NA,NA,NA,430,NA,7.5977,NA
101,638,"CEL",2.1407,NA,NA,430,3.74,7.5977,3.5493
101,639,"CEL",2.1408,NA,NA,430,3.7398,7.5977,3.5491
101,640,"CEL",2.1391,NA,NA,430,3.7428,7.5977,3.5519
101,641,"SA",1.9273,NA,NA,430,4.7727,7.5977,3.9423
101,642,"SA",1.9258,NA,NA,430,4.7762,7.5977,3.9451
101,643,"SA",1.9254,NA,NA,430,4.7774,7.5977,3.9461
101,644,"SB",2.0595,NA,NA,430,4.2747,7.5977,3.6891
101,645,"SB",2.0605,NA,NA,430,4.2726,7.5977,3.6873
101,646,"SB",2.0613,NA,NA,430,4.2711,7.5977,3.686
101,647,"SC",3.9309,NA,NA,450,2.5003,7.9511,2.0227
101,648,"SC",3.9263,NA,NA,450,2.5032,7.9511,2.0251
101,649,"SC",3.9214,NA,NA,450,2.5063,7.9511,2.0276
102,712,"BK",NA,NA,NA,1908.8,NA,34.672,NA
102,713,"BK",NA,NA,NA,1905.3,NA,34.609,NA
102,714,"BK",NA,NA,NA,1907.5,NA,34.65,NA
102,715,"CEL",2.0139,NA,NA,1904.4,18.1,34.593,17.177
102,716,"CEL",2.0006,NA,NA,1905.4,18.23,34.611,17.3
102,717,"CEL",1.997,NA,NA,1900.9,18.22,34.53,17.291
102,718,"SA",2.0194,NA,NA,1905.4,20.75,34.611,17.14
102,719,"SA",2.0286,NA,NA,1911.3,20.72,34.718,17.115
102,720,"SA",2.0134,NA,NA,1899.7,20.75,34.509,17.14
102,721,"SB",1.9971,NA,NA,1903.3,20.06,34.574,17.312
102,722,"SB",1.9925,NA,NA,1907.4,20.15,34.648,17.389
102,723,"SB",1.9961,NA,NA,1902.4,20.06,34.556,17.312
102,724,"SC",2.0049,NA,NA,1905.5,21.34,34.613,17.264
102,725,"SC",1.9991,NA,NA,1902.6,21.37,34.561,17.288
102,726,"SC",1.9971,NA,NA,1906.9,21.44,34.639,17.345
103,73,"SA",2.0286,NA,NA,80,0.7591,1.272,0.62702
103,74,"SA",2.0138,NA,NA,80,0.7647,1.272,0.63164
103,75,"SA",2.0238,NA,NA,80.02,0.7611,1.2723,0.62867
103,76,"SB",1.9853,NA,NA,80.02,0.7426,1.2723,0.64086
103,77,"SB",1.9728,NA,NA,80.02,0.7473,1.2723,0.64492
103,78,"SB",1.9882,NA,NA,80.03,0.7416,1.2725,0.64
103,79,"BK",NA,NA,NA,119.97,NA,1.9075,NA
103,80,"BK",NA,NA,NA,120.05,NA,1.9088,NA
103,81,"BK",NA,NA,NA,120.03,NA,1.9085,NA
103,82,"SC",4.055,NA,NA,79.99,0.3877,1.2718,0.31365
103,83,"SC",3.9876,NA,NA,80,0.3943,1.272,0.31899
103,84,"SC",3.962,NA,NA,79.98,0.39675,1.2717,0.32097
103,85,"SC",4.0059,NA,NA,80.02,0.3926,1.2723,0.31761
103,86,"CEL",1.9929,NA,NA,79.98,0.6724,1.2717,0.63811
103,87,"CEL",1.9956,NA,NA,79.97,0.6714,1.2715,0.63716
103,88,"CEL",2.003,NA,NA,80.04,0.6695,1.2726,0.63536
104,533,"BK",NA,NA,NA,159.4,NA,11.306,NA
104,534,"BK",NA,NA,NA,159.45,NA,11.309,NA
104,535,"BK",NA,NA,NA,159.4,NA,11.306,NA
104,536,"CEL",11.278,NA,NA,159.42,1.0564,11.307,1.0025
104,537,"CEL",11.283,NA,NA,159.42,1.056,11.307,1.0021
104,538,"CEL",11.283,NA,NA,159.42,1.056,11.307,1.0021
104,539,"SA",2.1261,NA,NA,159.41,6.438,11.306,5.3178
104,540,"SA",2.1256,NA,NA,159.42,6.44,11.307,5.3194
104,541,"SA",2.1254,NA,NA,159.43,6.441,11.308,5.3203
104,542,"SB",2.1213,NA,NA,159.44,6.177,11.308,5.3308
104,543,"SB",2.1223,NA,NA,159.41,6.173,11.306,5.3273
104,544,"SB",2.1212,NA,NA,159.43,6.177,11.308,5.3308
104,545,"SC",4.2757,NA,NA,159.43,3.269,11.308,2.6446
104,546,"SC",4.2624,NA,NA,159.42,3.279,11.307,2.6527
104,547,"SC",4.2663,NA,NA,159.42,3.276,11.307,2.6503
105,156,"BK",NA,NA,NA,158.12,NA,10.394,NA
105,157,"BK",NA,NA,NA,158.26,NA,10.403,NA
105,158,"BK",NA,NA,NA,158.21,NA,10.4,NA
105,159,"CEL",10.376,NA,NA,158.21,1.0561,10.4,1.0022
