"bottle.id","approach.fit","lag.rem","fit.to","fit.last","tlag","ylag","B0","k","ME"
"1031","4","FALSE","SMP",FALSE,0,0,338.68,0.069733,0.99322
"1031","5","TRUE","SMP.rate",TRUE,0,0,338.25,0.061931,0.78732
"1031","6","TRUE","SMP",TRUE,0,0,320.79,0.076504,0.99155
"1032","1","TRUE","SMP.rate",FALSE,0,0,356.81,0.060171,0.83016
"1032","2","TRUE","SMP",FALSE,0,0,336.48,0.070798,0.9952
"1032","3","FALSE","SMP.rate",FALSE,0,0,356.81,0.060171,0.83016
"1032","4","FALSE","SMP",FALSE,0,0,336.48,0.070798,0.9952
"1032","5","TRUE","SMP.rate",TRUE,0,0,334.89,0.063886,0.82668
"1032","6","TRUE","SMP",TRUE,0,0,319.76,0.077298,0.99369
"1036","1","TRUE","SMP.rate",FALSE,2.2,58.375,360.33,0.4765,0.85627
"1036","2","TRUE","SMP",FALSE,2.2,58.375,365.63,0.45152,0.99085
"1036","3","FALSE","SMP.rate",FALSE,0,0,427.04,0.14426,0.33159
"1036","4","FALSE","SMP",FALSE,0,0,373.31,0.22905,0.92999
"1036","5","TRUE","SMP.rate",TRUE,2.2,58.375,365.61,0.46833,0.85612
"1036","6","TRUE","SMP",TRUE,2.2,58.375,365.61,0.4516,0.99085
"1037","1","TRUE","SMP.rate",FALSE,2.2,43.467,343.5,0.51546,0.91744
"1037","2","TRUE","SMP",FALSE,2.2,43.467,346.36,0.50041,0.99372
"1037","3","FALSE","SMP.rate",FALSE,0,0,406.63,0.1446,0.33365
"1037","4","FALSE","SMP",FALSE,0,0,353.9,0.23365,0.92122
"1037","5","TRUE","SMP.rate",TRUE,2.2,43.467,345.35,0.51237,0.91742
"1037","6","TRUE","SMP",TRUE,2.2,43.467,345.35,0.50568,0.99341
"1038","1","TRUE","SMP.rate",FALSE,2.2,40.272,346.21,0.48819,0.90868
"1038","2","TRUE","SMP",FALSE,2.2,40.272,357.67,0.43376,0.97903
"1038","3","FALSE","SMP.rate",FALSE,0,0,415.47,0.138,0.33153
"1038","4","FALSE","SMP",FALSE,0,0,367.13,0.21182,0.93315
"1038","5","TRUE","SMP.rate",TRUE,2.2,40.272,368.69,0.45474,0.90587
"1038","6","TRUE","SMP",TRUE,2.2,40.272,368.69,0.38437,0.95081
"1039","1","TRUE","SMP.rate",FALSE,2.5,284.58,440.69,1.013,0.91029
"1039","2","TRUE","SMP",FALSE,2.5,284.58,501.18,0.38222,0.95528
"1039","3","FALSE","SMP.rate",FALSE,0,0,542.26,0.2597,0.73564
"1039","4","FALSE","SMP",FALSE,0,0,503.31,0.33192,0.98182
"1039","5","TRUE","SMP.rate",TRUE,2.5,284.58,507.69,0.62146,0.85575
"1039","6","TRUE","SMP",TRUE,2.5,284.58,507.69,0.34204,0.93477
"1040","1","TRUE","SMP.rate",FALSE,2.5,300.47,447.58,1.1415,0.89599
"1040","2","TRUE","SMP",FALSE,2.5,300.47,514.83,0.38932,0.96402
"1040","3","FALSE","SMP.rate",FALSE,0,0,558.71,0.26486,0.73738
"1040","4","FALSE","SMP",FALSE,0,0,516.87,0.3413,0.98232
"1040","5","TRUE","SMP.rate",TRUE,2.5,300.47,514.74,0.6679,0.84107
"1040","6","TRUE","SMP",TRUE,2.5,300.47,514.74,0.38989,0.96402
"1041","1","TRUE","SMP.rate",FALSE,2.5,191.59,299,1.1884,0.9218
"1041","2","TRUE","SMP",FALSE,2.5,191.59,344.26,0.40566,0.94707
"1041","3","FALSE","SMP.rate",FALSE,0,0,375.9,0.25172,0.70434
"1041","4","FALSE","SMP",FALSE,0,0,346.16,0.33023,0.97873
"1041","5","TRUE","SMP.rate",TRUE,2.5,191.59,344.58,0.73903,0.86586
"1041","6","TRUE","SMP",TRUE,2.5,191.59,344.58,0.40249,0.94696
"1042","1","TRUE","SMP.rate",FALSE,0.2,0.74622,332.85,0.091504,0.79645
"1042","2","TRUE","SMP",FALSE,0.2,0.74622,329.79,0.094357,0.99919
"1042","3","FALSE","SMP.rate",FALSE,0,0,338,0.086067,0.7449
"1042","4","FALSE","SMP",FALSE,0,0,331.79,0.091382,0.99861
"1042","5","TRUE","SMP.rate",TRUE,0.2,0.74622,328.49,0.092545,0.7963
"1042","6","TRUE","SMP",TRUE,0.2,0.74622,326.98,0.096142,0.99904
"1043","1","TRUE","SMP.rate",FALSE,2.5,59.002,316.76,0.11212,0.84743
"1043","2","TRUE","SMP",FALSE,2.5,59.002,325.4,0.10226,0.99806
"1043","3","FALSE","SMP.rate",FALSE,0,0,334.76,0.0895,0.73307
"1043","4","FALSE","SMP",FALSE,0,0,330.23,0.093619,0.99857
"1043","5","TRUE","SMP.rate",TRUE,2.5,59.002,322.82,0.10958,0.84697
"1043","6","TRUE","SMP",TRUE,2.5,59.002,324.57,0.10296,0.99804
"1044","1","TRUE","SMP.rate",FALSE,0.2,0.59393,321.62,0.08837,0.78496
"1044","2","TRUE","SMP",FALSE,0.2,0.59393,320.22,0.08969,0.99931
"1044","3","FALSE","SMP.rate",FALSE,0,0,326.92,0.083002,0.73013
"1044","4","FALSE","SMP",FALSE,0,0,322.34,0.086817,0.99893
"1044","5","TRUE","SMP.rate",TRUE,0.2,0.59393,319.5,0.088875,0.78492
"1044","6","TRUE","SMP",TRUE,0.2,0.59393,318.65,0.090638,0.99927
"1048","1","TRUE","SMP.rate",FALSE,3.2,42.301,226.55,0.15135,0.68162
"1048","2","TRUE","SMP",FALSE,3.2,42.301,246.27,0.11517,0.97607
"1048","3","FALSE","SMP.rate",FALSE,0,0,266.65,0.074448,0.3726
"1048","4","FALSE","SMP",FALSE,0,0,251.57,0.092194,0.97568
"1048","5","TRUE","SMP.rate",TRUE,3.2,42.301,231.46,0.14646,0.68137
"1048","6","TRUE","SMP",TRUE,3.2,42.301,231.52,0.1405,0.93835
"1049","1","TRUE","SMP.rate",FALSE,2.8,20.926,276.95,0.15666,0.63131
"1049","2","TRUE","SMP",FALSE,2.8,20.926,326.65,0.1002,0.96262
"1049","3","FALSE","SMP.rate",FALSE,0,0,350.34,0.064669,0.34474
"1049","4","FALSE","SMP",FALSE,0,0,337.56,0.076247,0.96989
"1049","5","TRUE","SMP.rate",TRUE,2.8,20.926,302.18,0.13668,0.62905
"1049","6","TRUE","SMP",TRUE,2.8,20.926,302.53,0.12339,0.92605
"1050","1","TRUE","SMP.rate",FALSE,2.8,25.094,284.87,0.12356,0.59889
"1050","2","TRUE","SMP",FALSE,2.8,25.094,321.46,0.088254,0.96179
"1050","3","FALSE","SMP.rate",FALSE,0,0,339.02,0.062223,0.35019
"1050","4","FALSE","SMP",FALSE,0,0,332,0.070097,0.97122
"1050","5","TRUE","SMP.rate",TRUE,2.8,25.094,295.19,0.11738,0.59841
"1050","6","TRUE","SMP",TRUE,2.8,25.094,295.58,0.11012,0.92645
"1051","1","TRUE","SMP.rate",FALSE,8.8,310.35,448.47,0.42813,0.72487
"1051","2","TRUE","SMP",FALSE,8.8,310.35,509.72,0.13911,0.86427
"1051","3","FALSE","SMP.rate",FALSE,0,0,570.01,0.074962,0.55162
"1051","4","FALSE","SMP",FALSE,0,0,525.66,0.097682,0.96297
"1051","5","TRUE","SMP.rate",TRUE,8.8,310.35,520.67,0.24007,0.6531
"1051","6","TRUE","SMP",TRUE,8.8,310.35,522.43,0.11345,0.84231
"1052","1","TRUE","SMP.rate",FALSE,9,310.95,405.37,0.63068,0.76196
"1052","2","TRUE","SMP",FALSE,9,310.95,410.02,0.56066,0.77591
"1052","3","FALSE","SMP.rate",FALSE,0,0,477.29,0.088216,0.53037
"1052","4","FALSE","SMP",FALSE,0,0,421.96,0.13372,0.9157
"1052","5","TRUE","SMP.rate",TRUE,9,310.95,399.07,0.69186,0.76073
"1052","6","TRUE","SMP",TRUE,9,310.95,399.07,0.74035,0.36517
"1054","1","TRUE","SMP.rate",FALSE,16,215.16,269.06,0.52767,0.7864
"1054","2","TRUE","SMP",FALSE,16,215.16,302.54,0.13908,0.92093
"1054","3","FALSE","SMP.rate",FALSE,0,0,368.37,0.040264,0.31831
"1054","4","FALSE","SMP",FALSE,0,0,352.96,0.049928,0.93422
"1054","5","TRUE","SMP.rate",TRUE,16,215.16,298.51,0.27892,0.70306
"1054","6","TRUE","SMP",TRUE,16,215.16,298.85,0.15697,0.91078
"1055","1","TRUE","SMP.rate",FALSE,11.5,102.63,265.93,0.15477,0.80772
"1055","2","TRUE","SMP",FALSE,11.5,102.63,257.47,0.18353,0.98516
"1055","3","FALSE","SMP.rate",FALSE,0,0,310.14,0.043111,0.3392
"1055","4","FALSE","SMP",FALSE,0,0,296.49,0.054035,0.92537
"1055","5","TRUE","SMP.rate",TRUE,11.5,102.63,253.53,0.16547,0.80397
"1055","6","TRUE","SMP",TRUE,11.5,102.63,253.37,0.19767,0.97875
"1056","1","TRUE","SMP.rate",FALSE,16.8,206.66,245.87,0.87648,0.86682
"1056","2","TRUE","SMP",FALSE,16.8,206.66,268.3,0.18919,0.86602
"1056","3","FALSE","SMP.rate",FALSE,0,0,335.29,0.038595,0.24208
"1056","4","FALSE","SMP",FALSE,0,0,319.76,0.048715,0.91228
"1056","5","TRUE","SMP.rate",TRUE,16.8,206.66,268.16,0.49385,0.75457
"1056","6","TRUE","SMP",TRUE,16.8,206.66,268.25,0.18975,0.86601
"1057","1","TRUE","SMP.rate",FALSE,15.1,127.37,1851.9,0.01497,0.052619
"1057","2","TRUE","SMP",FALSE,NA,NA,NA,NA,NA
"1057","3","FALSE","SMP.rate",FALSE,0,0,509330,3.2269e-05,-0.00026129
"1057","4","FALSE","SMP",FALSE,NA,NA,NA,NA,NA
"1057","5","TRUE","SMP.rate",TRUE,15.1,127.37,1769.6,0.013267,0.014848
"1057","6","TRUE","SMP",TRUE,15.1,127.37,3906.8,0.0050738,0.95927
"1058","1","TRUE","SMP.rate",FALSE,19.7,175.83,767.21,0.079535,0.48256
"1058","2","TRUE","SMP",FALSE,19.7,175.83,826.59,0.048287,0.96055
"1058","3","FALSE","SMP.rate",FALSE,0,0,8684.4,0.0015116,0.00056608
"1058","4","FALSE","SMP",FALSE,NA,NA,NA,NA,NA
"1058","5","TRUE","SMP.rate",TRUE,19.7,175.83,665.89,0.088331,0.45646
"1058","6","TRUE","SMP",TRUE,19.7,175.83,705.96,0.066768,0.94636
"1059","1","TRUE","SMP.rate",FALSE,19.7,220.74,647.58,0.11854,0.71253
"1059","2","TRUE","SMP",FALSE,19.7,220.74,641.94,0.074166,0.9703
"1059","3","FALSE","SMP.rate",FALSE,0,0,1578.2,0.010749,0.035072
"1059","4","FALSE","SMP",FALSE,NA,NA,NA,NA,NA
"1059","5","TRUE","SMP.rate",TRUE,19.7,220.74,589.89,0.13665,0.69879
"1059","6","TRUE","SMP",TRUE,19.7,220.74,623.15,0.080913,0.96883
"1060","1","TRUE","SMP.rate",FALSE,1.8,1.9514,176.67,0.23644,0.52678
"1060","2","TRUE","SMP",FALSE,1.8,1.9514,354.63,0.037811,0.85935
